## cite_days=180
# gene	cites	cite_delta	cite_rank	cite_rank_delta
TP53	87	-50	1	0
APOE	66	4	2	6
ACE2	65	-42	3	-1
IL6	63	-18	4	0
CD274	56	-37	5	-2
NFE2L2	48	-9	6	3
STAT3	48	-28	6	-1
HIF1A	46	-18	8	-2
SNCA	45	7	9	22
TGFB1	45	-1	9	7
EGFR	41	-23	11	-5
BDNF	38	-1	12	17
ESR1	36	-10	13	3
NLRP3	35	-7	14	9
TNF	34	-11	15	4
YAP1	34	-16	15	-4
IL10	32	-11	17	5
VEGFA	32	-18	17	-6
METTL3	32	-16	17	-3
CXCL8	31	5	20	83
BRAF	30	-5	21	21
MTOR	30	-3	21	25
VDR	30	-11	21	4
SIRT1	30	-15	21	-2
CTNNB1	29	-17	25	-9
EZH2	29	-21	25	-14
IL17A	29	-9	25	6
MYC	29	-11	25	2
PTEN	29	-7	25	14
BRCA1	27	-14	30	-5
IFNG	27	10	30	435
IGF1	27	-5	30	19
MMP9	27	-10	30	6
TLR4	27	-12	30	-1
AR	26	-6	35	14
ERBB2	26	-11	35	1
KRAS	26	-25	35	-25
NFKB1	26	-3	35	36
FOXO1	25	8	39	426
TERT	25	-3	39	39
MAPT	24	-23	41	-26
LGALS3	23	-10	42	4
PIK3CA	23	0	42	109
GDF15	23	-1	42	92
TARDBP	23	-19	42	-19
HOTAIR	23	6	42	423
IL1B	22	-16	47	-16
IL33	22	-4	47	56
AKT1	21	-11	49	0
HMGB1	21	-10	49	7
MTHFR	21	-19	49	-22
PDCD1	21	-1	49	138
SOX2	21	-4	49	70
ABCG2	21	10	49	1571
TREM2	21	5	49	518
CFTR	20	-3	56	95
ABCB1	20	-2	56	131
FGF23	20	4	56	511
FTO	20	-3	56	95
STING1	20	-3	56	95
MIR21	20	-15	56	-14
BRCA2	19	-11	62	2
CDH1	19	-13	62	-13
CXCR4	19	-13	62	-13
PCSK9	19	-9	62	16
PARP1	18	-26	66	-45
APP	18	-14	66	-17
RUNX1	18	6	66	1236
ACE	18	1	66	399
LEP	18	-4	66	121
LPA	18	1	66	399
MUC1	18	-1	66	239
PPARG	18	-5	66	85
CCL2	18	-4	66	121
MALAT1	18	-15	66	-20
CDKN2A	17	-11	76	2
NR3C1	17	-1	76	310
SERPINE1	17	-4	76	147
CXCL12	17	3	76	775
STAT1	17	-10	76	13
SIRT3	17	0	76	389
BRD4	17	-3	76	180
MIR155	17	-3	76	180
CASP8	16	-1	84	381
DNMT1	16	-8	84	50
GPX4	16	-1	84	381
IDH1	16	-13	84	-13
SOD1	16	-6	84	103
TLR2	16	-3	84	221
ADIPOQ	16	-10	84	19
TET2	16	-2	84	302
PNPLA3	16	1	84	599
C9orf72	16	-2	84	302
NEAT1	16	-12	84	-6
AGT	15	5	95	1954
ATM	15	-8	95	56
CRP	15	-7	95	92
CYP3A5	15	3	95	1207
GJA1	15	2	95	972
IL18	15	-9	95	39
JAK2	15	-5	95	161
NOS3	15	-6	95	128
NOTCH1	15	-13	95	-17
MAPK1	15	0	95	588
PTBP1	15	-16	95	-39
ZEB1	15	4	95	1525
IGF2BP2	15	-11	95	8
FOXP3	15	-5	95	161
SIRT6	15	-3	95	291
CALR	14	1	110	957
RUNX2	14	-2	110	457
CST3	14	-8	110	77
ELAVL1	14	-16	110	-46
FOXM1	14	-13	110	-21
FOXO3	14	-6	110	146
FLT3	14	2	110	1192
FN1	14	-1	110	573
HLA-B	14	2	110	1192
HLA-G	14	5	110	2507
IL4	14	4	110	1939
LAG3	14	4	110	1939
LCN2	14	-9	110	41
KMT2A	14	-9	110	41
NEFL	14	0	110	741
NPM1	14	-21	110	-68
PRKN	14	-5	110	195
PLK1	14	-3	110	355
TRIM21	14	-12	110	-7
ST2	14	4	110	1939
TSC2	14	5	110	2507
PPARGC1A	14	-1	110	573
NOX4	14	5	110	2507
FBXW7	14	-1	110	573
GAS5	14	-4	110	276
MIR29A	14	-3	110	355
MIR34A	14	-5	110	195
ACTN3	13	3	137	1912
ADAM10	13	4	137	2480
AHR	13	-7	137	119
APOB	13	-3	137	430
CCND1	13	-8	137	86
CA9	13	5	137	3355
CAV1	13	-8	137	86
CD47	13	-3	137	430
CREB1	13	5	137	3355
CYP2C19	13	-2	137	546
CYP2C9	13	4	137	2480
DNMT3A	13	-6	137	168
EDN1	13	-1	137	714
HSP90AA1	13	-25	137	-106
HSPD1	13	-14	137	-48
LDHA	13	-14	137	-48
MKI67	13	-18	137	-81
MMP2	13	-9	137	50
POU5F1	13	3	137	1912
RB1	13	-5	137	249
S100A9	13	-9	137	50
SMARCA4	13	-10	137	14
SOX9	13	-6	137	168
STIM1	13	-4	137	328
TMPRSS2	13	-12	137	-18
TRPV1	13	-3	137	430
VWF	13	0	137	930
APOL1	13	0	137	930
WTAP	13	-2	137	546
DICER1	13	-6	137	168
RIGI	13	3	137	1912
TRPV4	13	-1	137	714
MIR146A	13	-8	137	86
ABCA1	12	-2	170	681
BMAL1	12	2	170	1879
CD44	12	-8	170	86
CHI3L1	12	-12	170	-36
CTLA4	12	-8	170	86
EPHA2	12	-3	170	513
EP300	12	-3	170	513
FBN1	12	4	170	3322
FGFR3	12	-2	170	681
FLI1	12	3	170	2447
FMR1	12	-14	170	-67
GBA1	12	-2	170	681
GSK3B	12	-2	170	681
GSTP1	12	-3	170	513
HK2	12	-7	170	135
IGFBP3	12	3	170	2447
IL6R	12	2	170	1879
INS	12	2	170	1879
IRF1	12	2	170	1879
IRF4	12	3	170	2447
KCNH2	12	1	170	1450
L1CAM	12	2	170	1879
LGALS9	12	6	170	6754
SMAD4	12	-12	170	-36
MGMT	12	-3	170	513
TNFRSF11B	12	-2	170	681
PCNA	12	-10	170	17
PTK2	12	-4	170	397
RAC1	12	-5	170	295
RAD51	12	-5	170	295
SNAI1	12	-4	170	397
SP1	12	-8	170	86
AURKA	12	1	170	1450
STK11	12	0	170	1132
HNF1B	12	3	170	2447
KMT2D	12	5	170	4627
SAMHD1	12	-5	170	295
IL37	12	-3	170	513
ANGPTL4	12	3	170	2447
ALKBH5	12	-4	170	397
RETN	12	5	170	4627
CEMIP	12	4	170	3322
METTL16	12	5	170	4627
CEP290	12	6	170	6754
HAVCR2	12	-3	170	513
LRRK2	12	-7	170	135
MIR193A	12	5	170	4627
IFNL4	12	6	170	6754
ADAR	11	-13	218	-84
AGTR1	11	0	218	1402
ALCAM	11	-2	218	849
ALDH2	11	-9	218	38
AMH	11	3	218	3274
BACH1	11	1	218	1831
BCL2	11	-1	218	1084
CAT	11	-3	218	633
CEBPB	11	1	218	1831
CNR1	11	-1	218	1084
MAPK14	11	-1	218	1084
CYP3A4	11	1	218	1831
ESR2	11	-6	218	247
FABP2	11	2	218	2399
FGFR1	11	0	218	1402
FKBP5	11	-4	218	465
G6PD	11	-12	218	-67
GAPDH	11	-15	218	-115
GATA3	11	-6	218	247
GCK	11	4	218	4579
GJB2	11	3	218	3274
HMGA1	11	-10	218	5
HMOX1	11	-1	218	1084
NR4A1	11	2	218	2399
IFI16	11	-2	218	849
IMPDH1	11	0	218	1402
JUN	11	-3	218	633
KCNQ1	11	2	218	2399
KDR	11	1	218	1831
LRP1	11	-5	218	349
SMAD3	11	-12	218	-67
MECP2	11	-3	218	633
MEN1	11	-1	218	1084
YBX1	11	-19	218	-154
NT5E	11	-6	218	247
NUCB2	11	-1	218	1084
OGG1	11	0	218	1402
P2RX7	11	-3	218	633
SLC26A4	11	0	218	1402
SERPINA1	11	-8	218	87
PKM	11	-23	218	-173
PON1	11	-4	218	465
PTPN11	11	-7	218	168
PVT1	11	-3	218	633
RET	11	-1	218	1084
CCL5	11	1	218	1831
SLC1A5	11	-7	218	168
SPP1	11	-1	218	1084
TFRC	11	-7	218	168
TTN	11	-5	218	349
VDAC1	11	-8	218	87
YY1	11	-8	218	87
TFEB	11	0	218	1402
FXR1	11	-12	218	-67
SPOP	11	2	218	2399
TNFSF11	11	-3	218	633
SOCS1	11	2	218	2399
APLN	11	-5	218	349
SOCS3	11	-6	218	247
LONP1	11	-3	218	633
PIEZO1	11	-8	218	87
CXCL13	11	0	218	1402
POSTN	11	-2	218	849
ADAMTS13	11	-6	218	247
CARD8	11	6	218	9678
FGF21	11	-7	218	168
YTHDF2	11	-12	218	-67
SIRT7	11	-3	218	633
YTHDF1	11	-7	218	168
TUG1	11	-2	218	849
CARD9	11	4	218	4579
PINK1	11	-6	218	247
AIFM2	11	2	218	2399
MUC16	11	-1	218	1084
MIR106A	11	5	218	6706
MIR122	11	-6	218	247
MIR143	11	-5	218	349
MIR145	11	-18	218	-147
MIR195	11	-2	218	849
MIR214	11	2	218	2399
MIR340	11	3	218	3274
MUC5B	11	-3	218	633
MIR942	11	4	218	4579
AGER	10	-4	301	550
ANXA1	10	-5	301	382
XIAP	10	-6	301	266
AQP5	10	1	301	2316
BMP2	10	2	301	3191
C5AR1	10	4	301	6623
CALCA	10	0	301	1748
CDC42	10	-8	301	85
CDK4	10	-2	301	1001
CCR5	10	-4	301	550
COMT	10	-9	301	4
CSF1	10	1	301	2316
CYP2B6	10	2	301	3191
CYP2D6	10	-6	301	266
DCN	10	10	301	17312
DMD	10	0	301	1748
SLC26A2	10	2	301	3191
ENO1	10	-16	301	-198
ERN1	10	-4	301	550
FOLR1	10	3	301	4496
FUS	10	-18	301	-223
GATA1	10	3	301	4496
GCG	10	3	301	4496
GPER1	10	4	301	6623
HLA-A	10	-6	301	266
HNRNPA2B1	10	-11	301	-78
HNRNPC	10	-9	301	4
HSPA8	10	-26	301	-262
HTR2A	10	4	301	6623
IFI27	10	3	301	4496
IFNB1	10	4	301	6623
CXCL10	10	1	301	2316
ITGB3	10	3	301	4496
LASP1	10	-4	301	550
LDLR	10	3	301	4496
LEPR	10	-2	301	1001
MITF	10	1	301	2316
MMP3	10	-3	301	766
MTNR1B	10	4	301	6623
MYBPC3	10	4	301	6623
MYH9	10	-19	301	-230
NGF	10	1	301	2316
NOS2	10	-1	301	1319
ROR2	10	4	301	6623
PIK3R2	10	4	301	6623
PON2	10	2	301	3191
PTPA	10	-3	301	766
MAPK3	10	-1	301	1319
PTX3	10	-6	301	266
RELA	10	-6	301	266
RPE65	10	4	301	6623
S100A4	10	2	301	3191
S100A8	10	-11	301	-78
SRSF1	10	-10	301	-45
SHBG	10	3	301	4496
SLC12A3	10	0	301	1748
STAT6	10	-1	301	1319
ADAM17	10	-7	301	164
TBP	10	1	301	2316
TFE3	10	2	301	3191
TGFBR2	10	-2	301	1001
THBS1	10	0	301	1748
NKX2-1	10	0	301	1748
TXN	10	-7	301	164
TXNRD1	10	2	301	3191
USH2A	10	4	301	6623
KDM6A	10	-1	301	1319
VCP	10	-19	301	-230
VIM	10	-20	301	-237
WT1	10	-1	301	1319
XPO1	10	-13	301	-150
RAB7A	10	-5	301	382
ARID1A	10	-12	301	-114
BAP1	10	-10	301	-45
BECN1	10	-7	301	164
PER3	10	2	301	3191
CLDN1	10	3	301	4496
USP14	10	-8	301	85
IL32	10	4	301	6623
KLF4	10	-3	301	766
EIF2AK3	10	4	301	6623
SV2A	10	4	301	6623
FGF19	10	10	301	17312
NAMPT	10	-6	301	266
CD96	10	3	301	4496
IKZF1	10	4	301	6623
KLF2	10	1	301	2316
WFDC2	10	4	301	6623
IFITM3	10	2	301	3191
PRMT5	10	-15	301	-182
SLCO1B1	10	1	301	2316
IGF2BP3	10	-14	301	-167
LILRB1	10	2	301	3191
MALT1	10	-4	301	550
HHLA2	10	0	301	1748
NLRP1	10	-3	301	766
KLRK1	10	-1	301	1319
DKK1	10	-1	301	1319
KDM1A	10	-10	301	-45
WWTR1	10	-9	301	4
SETD2	10	-3	301	766
TRPV2	10	2	301	3191
ERAP1	10	-1	301	1319
TLR9	10	-6	301	266
CHD7	10	-1	301	1319
SALL4	10	2	301	3191
BIRC6	10	-2	301	1001
APOBEC3G	10	2	301	3191
YTHDC2	10	1	301	2316
GSDMD	10	-5	301	382
NANOG	10	0	301	1748
ZBP1	10	1	301	2316
LRRC15	10	2	301	3191
CLEC12A	10	10	301	17312
IL27	10	-2	301	1001
MIR142	10	1	301	2316
MIR200B	10	1	301	2316
MIR181A1	10	2	301	3191
MIR223	10	-4	301	550
MIR370	10	-1	301	1319
MIR497	10	-2	301	1001
CDKN2B-AS1	10	-2	301	1001
MAGI2-AS3	10	3	301	4496
OCLN	10	0	301	1748
ABCD1	9	0	425	2192
ANGPT2	9	-1	425	1624
APOA1	9	-6	425	258
APOC3	9	-3	425	877
ASS1	9	-1	425	1624
ATF4	9	-5	425	426
AXL	9	0	425	2192
CEACAM1	9	2	425	4372
BNIP3	9	-1	425	1624
BNIP3L	9	4	425	9471
BSG	9	-14	425	-274
C1QA	9	0	425	2192
C3	9	-5	425	426
CAMP	9	1	425	3067
CASP1	9	-1	425	1624
CASR	9	4	425	9471
RUNX3	9	3	425	6499
CBL	9	-1	425	1624
CD36	9	-5	425	426
CD38	9	2	425	4372
CDK1	9	-14	425	-274
CHRNA7	9	3	425	6499
CLU	9	1	425	3067
CNR2	9	-1	425	1624
CREBBP	9	2	425	4372
VCAN	9	3	425	6499
CTSB	9	-5	425	426
CYP1A1	9	2	425	4372
CYP24A1	9	3	425	6499
GADD45A	9	9	425	17188
DIO2	9	3	425	6499
DNMT3B	9	-8	425	40
DPP4	9	-4	425	642
DPYD	9	-2	425	1195
DRD1	9	9	425	17188
DSP	9	-12	425	-202
DUSP6	9	9	425	17188
E2F1	9	-5	425	426
EEF2	9	-14	425	-274
EIF5A	9	-4	425	642
ELN	9	0	425	2192
ENO2	9	-3	425	877
ESRRA	9	0	425	2192
ETV6	9	4	425	9471
FASN	9	-19	425	-347
FLG	9	-3	425	877
GATA4	9	-4	425	642
MSTN	9	0	425	2192
GFAP	9	-5	425	426
GLP1R	9	-3	425	877
CXCL1	9	-1	425	1624
GSTT1	9	-5	425	426
HDAC2	9	-12	425	-202
CFH	9	-1	425	1624
HLA-C	9	-2	425	1195
HLA-DQA1	9	2	425	4372
HLA-DRB1	9	-6	425	258
FOXA2	9	-4	425	642
HNF4A	9	-2	425	1195
HNRNPK	9	-18	425	-336
HSPA5	9	-29	425	-394
HSPB1	9	-16	425	-306
HTR2B	9	2	425	4372
ICAM1	9	-7	425	142
IGF1R	9	-13	425	-238
IGF2	9	-2	425	1195
CCN1	9	1	425	3067
IKBKB	9	-4	425	642
IL1A	9	-2	425	1195
IL7	9	-1	425	1624
IL11	9	4	425	9471
IL12B	9	0	425	2192
IL13	9	-6	425	258
INPP5D	9	2	425	4372
JAK1	9	-4	425	642
KCNJ10	9	9	425	17188
KCNN2	9	9	425	17188
LAMA2	9	4	425	9471
FADS1	9	3	425	6499
LMNA	9	-19	425	-347
SMAD2	9	-7	425	142
MAX	9	-4	425	642
MEFV	9	2	425	4372
MID1	9	0	425	2192
NR3C2	9	3	425	6499
MMP14	9	-6	425	258
MYBL2	9	0	425	2192
MYD88	9	-6	425	258
NDP	9	4	425	9471
NF1	9	1	425	3067
NF2	9	-3	425	877
NFIX	9	0	425	2192
NFKB2	9	0	425	2192
NONO	9	-17	425	-322
NOS1	9	1	425	3067
NOTCH3	9	-4	425	642
NRAS	9	-6	425	258
OPA1	9	-7	425	142
OPRM1	9	-4	425	642
OTX2	9	3	425	6499
PAX5	9	2	425	4372
PGK1	9	-9	425	-39
PGR	9	-3	425	877
PIN1	9	-2	425	1195
PITX2	9	9	425	17188
PKD1	9	-1	425	1624
PLAU	9	9	425	17188
PML	9	-4	425	642
PRKCD	9	1	425	3067
MAPK8	9	3	425	6499
RAD51D	9	3	425	6499
RANBP2	9	-6	425	258
RBM4	9	-2	425	1195
PRPH2	9	3	425	6499
RPGR	9	-2	425	1195
RPL5	9	-10	425	-120
SAFB	9	-2	425	1195
SCD	9	-4	425	642
CXCL5	9	1	425	3067
XCL1	9	9	425	17188
SDC1	9	-7	425	142
SLC2A1	9	-10	425	-120
SLC6A4	9	0	425	2192
SNAI2	9	-2	425	1195
SMN1	9	-1	425	1624
SMPD1	9	3	425	6499
SOX11	9	9	425	17188
SPARC	9	-5	425	426
SPAST	9	0	425	2192
SRC	9	2	425	4372
SURF4	9	-1	425	1624
TCF7	9	3	425	6499
TFAM	9	-2	425	1195
TGFB2	9	-2	425	1195
TGM1	9	-2	425	1195
TIMP2	9	1	425	3067
TLR3	9	-8	425	40
CLDN5	9	0	425	2192
TSC1	9	9	425	17188
TWIST1	9	-4	425	642
VHL	9	-5	425	426
BEST1	9	2	425	4372
WFS1	9	0	425	2192
XBP1	9	-4	425	642
