## cite_days=180
# gene	cites	cite_delta	cite_rank	cite_rank_delta
Gt(ROSA)26Sor	234	-149	1	0
Trp53	38	-36	2	0
Sox9	37	-23	3	2
Apoe	36	-6	4	12
Tlr4	36	-2	4	18
Nlrp3	35	-8	6	7
Casp3	34	-20	7	0
Mki67	31	-27	8	-2
Pvalb	31	-11	8	8
Sox2	31	-36	8	-4
App	30	10	11	85
Cx3cr1	29	-9	12	10
Lyz2	28	-40	13	-10
Ctnnb1	27	-16	14	-1
Lepr	27	-16	14	-1
Pecam1	27	-19	14	-3
Hif1a	26	-9	17	10
Pten	26	-13	17	4
Cdh1	25	-21	19	-8
Mettl3	25	-3	19	23
Mapt	24	-3	21	25
Nfe2l2	24	-30	21	-14
Akt1	23	3	23	73
Il17a	23	-7	23	16
Kras	23	-13	23	3
Pdgfra	22	-12	26	3
Stat3	22	1	26	56
Trem2	22	0	26	45
Sirt1	22	-18	26	-8
Col1a1	21	-4	30	23
Bcl11b	21	-16	30	-5
Sirt3	21	-4	30	23
Bdnf	20	-8	33	9
Isl1	20	-11	33	0
Snca	20	2	33	86
Yap1	20	-13	33	-3
Mtor	20	6	33	163
Sting1	20	-8	33	9
Acta2	19	-30	39	-30
Spp1	19	3	39	110
Wt1	19	6	39	197
Cdh2	18	-1	42	63
Il6	18	-12	42	-3
Nfkb1	18	5	42	194
Rps6	18	8	42	385
Sst	18	-4	42	29
Slc17a6	18	-13	42	-9
Ccr2	17	-3	48	48
Ezh2	17	-2	48	57
Gfap	17	-15	48	-17
Pax6	17	-32	48	-39
Ppargc1a	17	1	48	101
Tgfb1	17	-10	48	-2
Gsdmd	17	-7	48	14
Il33	17	-2	48	57
Piezo1	17	-5	48	23
Mir34a	17	6	48	308
Bmp4	16	-3	58	47
Cnr2	16	8	58	778
Ddx4	16	-4	58	38
Eomes	16	-24	58	-40
Gli1	16	-8	58	4
Il10	16	-6	58	13
Kit	16	-11	58	-12
Lep	16	-7	58	8
Ptprc	16	5	58	298
Shh	16	-22	58	-36
Slc32a1	16	-8	58	4
Trpv4	16	2	58	138
Ace2	16	5	58	298
Bmal1	15	-4	71	34
Dmd	15	-16	71	-38
Fmr1	15	-10	71	-18
Gja1	15	-8	71	-5
Ifng	15	-3	71	48
Myd88	15	-7	71	0
Pax7	15	-12	71	-25
Rag1	15	-16	71	-38
Rpl22	15	2	71	165
Slc7a5	15	7	71	765
Tnnt2	15	2	71	165
Vegfa	15	-4	71	34
Malat1	15	3	71	216
Speer6-ps1	15	-15	71	-32
Satb2	15	-10	71	-18
Cgas	15	1	71	125
Ahr	14	-3	87	46
Aqp4	14	3	87	269
Atf4	14	3	87	269
Cav1	14	-2	87	62
Col2a1	14	4	87	340
Egfr	14	4	87	340
Hsf1	14	2	87	200
Il1b	14	-8	87	-16
Klf4	14	2	87	200
Notch1	14	-11	87	-34
Psen1	14	-6	87	9
Ptf1a	14	2	87	200
Tbx3	14	5	87	501
Vdr	14	4	87	340
Rbfox3	14	-21	87	-60
Adar	14	0	87	109
Foxo1	14	-5	87	18
Trpv1	14	-11	87	-34
Aif1	13	-6	105	0
Calb1	13	-10	105	-39
Runx2	13	-4	105	28
Chat	13	-18	105	-72
Slc6a3	13	-8	105	-23
Emx1	13	-18	105	-72
Esr1	13	0	105	131
Fgfr2	13	-4	105	28
Gata4	13	-8	105	-23
Hmgb1	13	-3	105	44
Igf1	13	-3	105	44
Ins1	13	-1	105	91
Cd47	13	3	105	322
Ldlr	13	-7	105	-9
Smad1	13	-3	105	44
Myc	13	5	105	731
Ntn1	13	5	105	731
