## cite_days=180
# gene	cites	cite_delta	cite_rank	cite_rank_delta
Bdnf	13	0	1	2
Stat3	11	1	2	7
Tgfb1	11	5	2	237
Trpv1	11	1	2	7
Gja1	10	1	5	11
Tlr4	10	-3	5	-2
Nfe2l2	10	-2	5	2
Foxo1	10	4	5	234
Cebpb	9	9	9	630
Prkn	9	9	9	630
Bmp7	9	9	9	630
Nlrp3	9	-6	9	-8
Mettl3	9	1	9	17
Trpm7	9	3	9	230
Mir146a	9	3	9	230
Adcyap1	8	8	16	623
Agt	8	8	16	623
Grin2b	8	1	16	60
Sp1	8	8	16	623
Tnf	8	1	16	60
Vdr	8	3	16	477
Ntrk2	8	3	16	477
Grk2	8	8	16	623
Bckdha	8	8	16	623
Agrp	8	8	16	623
Pparg	8	-5	16	-13
Ptgs2	8	0	16	10
Hif1a	8	-6	16	-14
P2rx7	8	-1	16	0
Gjd2	8	8	16	623
Gata4	8	3	16	477
Mtor	8	-1	16	0
Ccn2	8	8	16	623
Ppargc1a	8	2	16	223
Eif2ak4	8	8	16	623
Rhoa	8	3	16	477
Havcr1	8	1	16	60
Per1	8	1	16	60
Sirt3	8	2	16	223
Sirt6	8	0	16	10
Smox	8	8	16	623
Sirt1	8	-5	16	-13
Epha4	8	8	16	623
Mir124-3	8	1	16	60
Mir29a	8	2	16	223
Mir124-1	8	4	16	622
A2m	7	7	47	592
Adcyap1r1	7	7	47	592
Akt1	7	0	47	29
Atp2b2	7	7	47	592
Edn1	7	7	47	592
Ephb1	7	7	47	592
Grin2a	7	7	47	592
Hmox1	7	-1	47	-21
Igf1	7	7	47	592
Irf1	7	7	47	592
Jun	7	0	47	29
Kcna1	7	7	47	592
Nos2	7	0	47	29
Tg	7	0	47	29
Vipr1	7	7	47	592
Bcl2l1	7	7	47	592
Esr1	7	0	47	29
Lox	7	7	47	592
Ptger3	7	7	47	592
Fmr1	7	-1	47	-21
Psmb9	7	7	47	592
Slc12a1	7	7	47	592
Chrna7	7	1	47	192
Atp5if1	7	7	47	592
Hmgb1	7	-4	47	-39
Nedd4	7	7	47	592
Hcrtr2	7	7	47	592
Pkm	7	7	47	592
Capn2	7	7	47	592
Meox2	7	7	47	592
Bmp2	7	-1	47	-21
Numb	7	7	47	592
Rgs4	7	7	47	592
Sgk1	7	7	47	592
Aldh2	7	7	47	592
Bmal1	7	0	47	29
Sema3a	7	7	47	592
Mapk3	7	1	47	192
Ghrl	7	1	47	192
Erbb4	7	7	47	592
Trpc3	7	7	47	592
Htr1f	7	7	47	592
P2ry4	7	7	47	592
Slc5a2	7	7	47	592
Ephx2	7	7	47	592
Trpv4	7	0	47	29
Ido1	7	7	47	592
Apex1	7	7	47	592
Gdf10	7	7	47	592
Mmp9	7	-1	47	-21
Ager	7	0	47	29
Prep	7	7	47	592
Ccn1	7	1	47	192
Kl	7	1	47	192
Vdac1	7	7	47	592
Sort1	7	7	47	592
Wfs1	7	7	47	592
Fgl2	7	7	47	592
Herpud1	7	7	47	592
Trpc6	7	-1	47	-21
Nrg1	7	2	47	446
Phb2	7	7	47	592
Mapk1	7	0	47	29
F2rl1	7	1	47	192
Rps15a	7	7	47	592
Park7	7	-3	47	-38
Mmp3	7	7	47	592
Adipoq	7	-1	47	-21
Rnf10	7	7	47	592
Xbp1	7	7	47	592
Gdf2	7	7	47	592
Nup93	7	7	47	592
Clptm1	7	7	47	592
Best1	7	7	47	592
Sh3rf3	7	7	47	592
Usp53	7	7	47	592
Trem2	7	7	47	592
C1qtnf7	7	7	47	592
Antxr2	7	7	47	592
Malt1	7	7	47	592
Cdc25c	7	7	47	592
H19	7	-2	47	-31
Usp1	7	7	47	592
Tlr9	7	7	47	592
Kdm2a	7	7	47	592
Tspan5	7	7	47	592
Usp11	7	7	47	592
Thbs1	7	7	47	592
Foxp2	7	7	47	592
Cntnap2	7	7	47	592
Hoxa11-as	7	7	47	592
Ddr2	7	7	47	592
Fpr2	7	2	47	446
Smurf1	7	7	47	592
Mlkl	7	7	47	592
Mir19b2	7	7	47	592
Mir27a	7	1	47	192
Mir98	7	7	47	592
Mir204	7	7	47	592
Mir449a	7	7	47	592
Mir1	7	7	47	592
Mir19a	7	1	47	192
Mir19b1	7	7	47	592
Mir340-1	7	7	47	592
Mir10b	7	7	47	592
Mir18a	7	7	47	592
Mir205	7	7	47	592
Mir362	7	7	47	592
Fbxw7	7	7	47	592
Agtr1a	6	0	156	83
Agtr2	6	6	156	483
Aldh1a1	6	0	156	83
Ar	6	-2	156	-130
Avp	6	6	156	483
Cacna1c	6	0	156	83
Calca	6	-1	156	-80
Chrm3	6	6	156	483
Egfr	6	0	156	83
Egr1	6	6	156	483
Gad1	6	0	156	83
Gad2	6	6	156	483
Gck	6	6	156	483
Gls	6	6	156	483
Nr3c1	6	-1	156	-80
H1f0	6	6	156	483
Hrh1	6	6	156	483
Hspa1a	6	6	156	483
Cd200	6	6	156	483
Nos1	6	6	156	483
Nos3	6	0	156	83
Npy	6	6	156	483
Oprd1	6	-1	156	-80
Pdgfrb	6	1	156	337
Serpina1	6	6	156	483
Pmch	6	6	156	483
Pomc	6	6	156	483
Ppp2ca	6	6	156	483
Rara	6	6	156	483
Ccl2	6	0	156	83
Slc2a1	6	1	156	337
Sod2	6	1	156	337
Ucp1	6	6	156	483
Yy1	6	6	156	483
Gcg	6	0	156	83
Snap25	6	1	156	337
Ampd1	6	6	156	483
Glp1r	6	0	156	83
Ampd3	6	6	156	483
Igf2r	6	6	156	483
Smo	6	6	156	483
Cst3	6	6	156	483
Il10	6	6	156	483
Tshr	6	6	156	483
Vcam1	6	0	156	83
Crp	6	6	156	483
Hbegf	6	6	156	483
F2r	6	1	156	337
Fosl1	6	6	156	483
Notch1	6	6	156	483
Rab3a	6	6	156	483
Parp1	6	6	156	483
Hcrtr1	6	-1	156	-80
Cd81	6	6	156	483
Bmp6	6	6	156	483
Adrb3	6	6	156	483
Cd38	6	6	156	483
Ahr	6	0	156	83
COX2	6	6	156	483
Capn1	6	1	156	337
Il18	6	-1	156	-80
Gch1	6	6	156	483
Spr	6	6	156	483
Sigmar1	6	-1	156	-80
Cd47	6	6	156	483
Slc26a4	6	6	156	483
Trpv2	6	-1	156	-80
Aoc3	6	6	156	483
Slc1a3	6	6	156	483
Scn1b	6	6	156	483
Scn8a	6	0	156	83
Kcnn2	6	6	156	483
Slc12a3	6	6	156	483
Adam17	6	0	156	83
Klf6	6	6	156	483
Ntrk1	6	6	156	483
Nucb2	6	-2	156	-130
Ccr2	6	0	156	83
Des	6	6	156	483
Mfn2	6	-2	156	-130
Cdc20	6	-1	156	-80
Snap23	6	6	156	483
Cplx1	6	6	156	483
Ppp5c	6	6	156	483
Cybb	6	6	156	483
Nr4a1	6	6	156	483
Hsf1	6	6	156	483
Alox15	6	6	156	483
Anpep	6	6	156	483
Mapk14	6	-2	156	-130
Itpr2	6	6	156	483
P2rx3	6	6	156	483
Ptger2	6	6	156	483
Ccl5	6	6	156	483
Atrn	6	6	156	483
Mchr1	6	6	156	483
Dvl1	6	6	156	483
Rps6kb1	6	6	156	483
Ptger4	6	6	156	483
Gsk3b	6	0	156	83
